batter,bowling_team,runs,balls,strike_rate
YK Pathan,Kochi Tuskers Kerala,25.0,16,156.25
YK Pathan,Kolkata Knight Riders,195.0,118,165.25423728813558
YK Pathan,Mumbai Indians,192.0,120,160.0
YK Pathan,Punjab Kings,117.0,80,146.25
YK Pathan,Rajasthan Royals,22.0,24,91.66666666666666
YK Pathan,Rising Pune Supergiant,40.0,41,97.5609756097561
YK Pathan,Royal Challengers Bangalore,181.0,139,130.2158273381295
YK Pathan,Sunrisers Hyderabad,312.0,180,173.33333333333334
YV Takawale,Delhi Capitals,14.0,21,66.66666666666666
YV Takawale,Rajasthan Royals,69.0,65,106.15384615384616
YV Takawale,Sunrisers Hyderabad,5.0,5,100.0
Yashpal Singh,Delhi Capitals,13.0,21,61.904761904761905
Yashpal Singh,Mumbai Indians,8.0,8,100.0
Yashpal Singh,Rajasthan Royals,26.0,38,68.42105263157895
